127.0.0.1 - - [30/Nov/2018:12:52:26 -0600] "GET / HTTP/1.1" 200 245
::1 - - [30/Nov/2018:12:52:31 -0600] "GET / HTTP/1.1" 200 245
::1 - - [30/Nov/2018:12:52:32 -0600] "GET /favicon.ico HTTP/1.1" 404 209
::1 - - [30/Nov/2018:12:52:34 -0600] "GET /Main.html HTTP/1.1" 304 -
::1 - - [30/Nov/2018:12:52:34 -0600] "GET /assets/food.png HTTP/1.1" 304 -
::1 - - [30/Nov/2018:12:52:34 -0600] "GET /assets/head.png HTTP/1.1" 304 -
::1 - - [30/Nov/2018:12:52:34 -0600] "GET /assets/headS.png HTTP/1.1" 304 -
::1 - - [30/Nov/2018:12:52:34 -0600] "GET /assets/Snake.png HTTP/1.1" 304 -
::1 - - [30/Nov/2018:12:52:34 -0600] "GET /assets/headN.png HTTP/1.1" 304 -
::1 - - [30/Nov/2018:12:52:34 -0600] "GET /assets/headW.png HTTP/1.1" 304 -
::1 - - [30/Nov/2018:12:59:19 -0600] "GET /Main.html HTTP/1.1" 200 9803
::1 - - [30/Nov/2018:12:59:19 -0600] "GET /assets/snake.png HTTP/1.1" 200 2809
::1 - - [30/Nov/2018:13:00:16 -0600] "GET /Main.html HTTP/1.1" 200 10322
::1 - - [30/Nov/2018:13:01:49 -0600] "GET /Main.html HTTP/1.1" 200 9544
::1 - - [30/Nov/2018:13:01:49 -0600] "GET /assets/snake.png HTTP/1.1" 200 2809
::1 - - [30/Nov/2018:13:02:01 -0600] "GET /Main.html HTTP/1.1" 304 -
::1 - - [30/Nov/2018:13:02:02 -0600] "GET /assets/snake.png HTTP/1.1" 304 -
::1 - - [30/Nov/2018:13:02:05 -0600] "GET /Main.html HTTP/1.1" 304 -
::1 - - [30/Nov/2018:13:02:05 -0600] "GET /assets/snake.png HTTP/1.1" 304 -
::1 - - [30/Nov/2018:13:02:29 -0600] "GET /Main.html HTTP/1.1" 200 10322
::1 - - [30/Nov/2018:13:21:04 -0600] "GET /Main.html HTTP/1.1" 200 4568
::1 - - [30/Nov/2018:13:21:04 -0600] "GET /objects/snake.js HTTP/1.1" 200 5164
::1 - - [30/Nov/2018:13:22:01 -0600] "GET /Main.html HTTP/1.1" 200 4574
::1 - - [30/Nov/2018:13:22:01 -0600] "GET /objects/snake.js HTTP/1.1" 304 -
::1 - - [30/Nov/2018:13:22:51 -0600] "GET /Main.html HTTP/1.1" 200 4114
::1 - - [30/Nov/2018:13:22:51 -0600] "GET /objects/snake.js HTTP/1.1" 304 -
::1 - - [30/Nov/2018:13:22:51 -0600] "GET /objects/food.js HTTP/1.1" 200 431
::1 - - [30/Nov/2018:13:23:51 -0600] "GET /Main.html HTTP/1.1" 304 -
::1 - - [30/Nov/2018:13:23:51 -0600] "GET /objects/snake.js HTTP/1.1" 304 -
::1 - - [30/Nov/2018:13:23:51 -0600] "GET /objects/food.js HTTP/1.1" 304 -
::1 - - [30/Nov/2018:13:26:43 -0600] "GET /Main.html HTTP/1.1" 200 3261
::1 - - [30/Nov/2018:13:26:43 -0600] "GET /objects/food.js HTTP/1.1" 304 -
::1 - - [30/Nov/2018:13:26:43 -0600] "GET /objects/snake.js HTTP/1.1" 200 4227
